ID Name,Sample Name,Gear Type,Gear Type Code,Color,Primary Color If Multi,Gear Type If Multi,Language,Manufacturer,Brand,Manufacturing Country,Distributing Country,Link to photo,Comments:
NPG_11_misc-058,NPG_11_misc,float,FL,orange,,,Chinese,,Sun Brand Floats,China?,,NPG_11_misc,
NPG_11_misc-014,NPG_11_misc,Float,FL,yellow,,,latin letters,,,,,NPG_11_misc,
NPG_11_ropes-100,NPG_11_ropes,-,-,clear,,,Chinese,Shanghai Petrochemical Rope Factory ,,China,,NPG_11_ropes,
NPG_11_ropes-072,NPG_11_ropes,float,FL,blue,,,Chinese,,,,,NPG_11_ropes,
NPG_13-001,NPG_13,Float,FL,white,,,Japanese/ Arabic Numbers,,,,,NPG_13,
NPG_15-013,NPG_15,Float,FL,multi,,,Arabic numbers,,,,,NPG_15,
NPG_16-026,NPG_16,Hard Plastic,HP,green,green,Hard Plastic,latin style letters,,,,,NPG_16 Lab_subsamples,
NPG_16-027,NPG_16,Float,FL,black,black,Float,English,,,,,NPG_16 Lab_subsamples,
NPG_16-001,NPG_16,Float,FL,black,black,Float,latin style letters,,,,,NPG_16 Lab_subsamples,
NPG_16-001,NPG_16,Float,FL,black,black,Float,latin style letters arabic numbers,,,,,NPG_16 Lab_subsamples,
NPG_18-061,NPG_18,Hard plastic,HP,red,red,Hard Plastic,arabic number,,,,,NPG_18 Lab samples,
NPG_18-057,NPG_18,Float,FL,blue,blue,Float,Chinese,,,,,NPG_18 Lab samples,
NPG_18-052,NPG_18,Float,FL,black,black,Float,Korean,Shinjin Chemical,,,South Korea,NPG_18 Lab samples,
NPG_18-025,NPG_18,Float,FL,black,black,Float,Latin style letters and arabic numbers,,,,,NPG_18 Lab samples,
OAH_04-003,OAH_04,Float,FL,yellow,,,arabic numbers,,,,,Subsamples OAH-4,
OAH_04-001,OAH_04,Float,FL,yellow,,,latin letters/arabic numbers,,,,,,
OAH_04-001,OAH_04,Float,FL,blue,,,latin letters/arabic numbers,,,,,Subsamples OAH-4,
OAH_04-002,OAH_04,Float,FL,blue,,,latin letters/arabic numbers,,,,,Subsamples OAH-4,
OAH_07-003,OAH_07,Float,FL,yellow,,,English? (latin letters),,,,,Subsamples OAH_7,
OAH_11-001,OAH_11,Float,FL,black,,,English,,,,,OAH_11,
OAH_12-095,OAH_12,Hard Plastic,HP,black,,,Japanese,,,,,OAH_12 writing translations,
OAH_12-004,OAH_12,Line,L,black,,,Japanese,,,,,OAH_12,
OAH_13-002,OAH_13,Float,FL,multi,multi,Float,English,,,,,OAH_13 Lab Sample Photos,
OAH_13-075,OAH_13,Float,FL,orange,orange,Float,latin style letters/Arabic numbers,,,,,OAH_13,
OAH_14-001,OAH_14,Buoy,B,multi,multi,,English/Arabic numbers,,,,,OAH_14,
